player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll,country,league_name
D. Vitasek,3xq8hq9fjghk24nrugnsgtyxg,Olympic Charleroi,bg8usydd9rv3dh4ua95s1u1pc,NaN,NaN,Goalkeeper,Centre,NaN,14,NaN,1,2,19,1,NaN,2,19,21,90,14,4,6,7,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,442,NaN,Olympic Charleroi vs Gent II,asizsa9qft9w64ujs4dhe1s0k,2025-08-08,7,BEL,Challenger_Pro_League
L. Ferrara,9vjnul6ac65jk6muwmbil16vo,Olympic Charleroi,bg8usydd9rv3dh4ua95s1u1pc,8,3,Defender,Left,NaN,34,4,11,2,17,2,3,22,43,21,90,21,8,7,29,11,15,1,1,1,5,1,3,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,442,NaN,Olympic Charleroi vs Gent II,asizsa9qft9w64ujs4dhe1s0k,2025-08-08,14,BEL,Challenger_Pro_League
K. Kegne,5drjyzolgioup5ewotcx87l2i,Olympic Charleroi,bg8usydd9rv3dh4ua95s1u1pc,2,NaN,Defender,Left/Centre,NaN,38,2,4,1,29,3,1,11,50,33,90,29,11,6,20,6,13,NaN,2,NaN,3,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,442,NaN,Olympic Charleroi vs Gent II,asizsa9qft9w64ujs4dhe1s0k,2025-08-08,16,BEL,Challenger_Pro_League
H. Jahić,e707ry26etbnb1npnnnxnxono,Olympic Charleroi,bg8usydd9rv3dh4ua95s1u1pc,1,1,Defender,Centre/Right,NaN,24,NaN,8,1,20,1,NaN,6,35,23,90,14,5,1,14,1,7,1,7,1,NaN,NaN,NaN,NaN,NaN,4,2,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,442,NaN,Olympic Charleroi vs Gent II,asizsa9qft9w64ujs4dhe1s0k,2025-08-08,12,BEL,Challenger_Pro_League
K. Kima Beyissa,av7nzz9blc0i5rsqxxs2n5dgq,Olympic Charleroi,bg8usydd9rv3dh4ua95s1u1pc,2,1,Defender,Right,NaN,22,2,5,1,14,1,2,8,32,16,77,14,9,4,17,7,13,NaN,2,NaN,3,4,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,442,NaN,Olympic Charleroi vs Gent II,asizsa9qft9w64ujs4dhe1s0k,2025-08-08,14,BEL,Challenger_Pro_League
M. Medfai,2lcoxgmdskta00odaledc27hm,Olympic Charleroi,bg8usydd9rv3dh4ua95s1u1pc,5,2,Midfielder,Left,NaN,5,2,7,3,2,NaN,1,3,6,2,45,3,1,3,6,2,4,NaN,1,NaN,1,1,1,1,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,442,NaN,Olympic Charleroi vs Gent II,asizsa9qft9w64ujs4dhe1s0k,2025-08-08,8,BEL,Challenger_Pro_League
R. Berberi,cmz88mcio5yihc2hcp6y38tii,Olympic Charleroi,bg8usydd9rv3dh4ua95s1u1pc,3,1,Midfielder,Left/Centre,NaN,18,2,5,3,5,NaN,1,13,24,7,90,6,1,4,17,4,8,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,3,NaN,NaN,NaN,2,2,NaN,NaN,442,NaN,Olympic Charleroi vs Gent II,asizsa9qft9w64ujs4dhe1s0k,2025-08-08,8,BEL,Challenger_Pro_League
R. Ion,ep4owq1kl7pszp5wamg95a25m,Olympic Charleroi,bg8usydd9rv3dh4ua95s1u1pc,3,1,Midfielder,Centre/Right,NaN,14,NaN,2,3,7,1,NaN,9,20,10,80,8,4,3,13,6,10,NaN,NaN,1,2,1,1,1,2,3,2,NaN,NaN,1,NaN,NaN,1,1,1,1,442,1,Olympic Charleroi vs Gent II,asizsa9qft9w64ujs4dhe1s0k,2025-08-08,12,BEL,Challenger_Pro_League
L. Florică,42wz4t9zq1txwb4kwp9ul8wa2,Olympic Charleroi,bg8usydd9rv3dh4ua95s1u1pc,5,1,Midfielder,Right,NaN,17,2,4,5,7,1,1,12,21,7,90,6,1,5,20,8,11,NaN,NaN,NaN,2,1,5,1,3,3,1,NaN,2,1,NaN,NaN,NaN,NaN,NaN,NaN,442,NaN,Olympic Charleroi vs Gent II,asizsa9qft9w64ujs4dhe1s0k,2025-08-08,9,BEL,Challenger_Pro_League
T. Lake,b61yiz3lait78xmlbyzr2vd62,Olympic Charleroi,bg8usydd9rv3dh4ua95s1u1pc,NaN,NaN,Striker,Left/Centre,NaN,2,NaN,1,NaN,1,NaN,NaN,1,2,1,11,NaN,NaN,NaN,1,NaN,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,442,NaN,Olympic Charleroi vs Gent II,asizsa9qft9w64ujs4dhe1s0k,2025-08-08,1,BEL,Challenger_Pro_League
