id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,status,active,position,secondNationality,secondNationalityId,height,weight,foot,shirtNumber,knownName
11203u9usp5y7fpbqmvhno0r9,Sergej,Jakirović,Sergej,Jakirovic,Male,S. Jakirović,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,coach,1976-12-23,Mostar,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12qlz44l7n0ma03abxxjxltlg,Branko,Pavić,Branko,Pavic,Male,B. Pavić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2006-11-07,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1j99x774oc7dpglwcyy6l1fc9,Arbër,Hoxha,Arbër,Hoxha,Male,A. Hoxha,Albania,17zsm8shejejls2on1ffil3op,player,1998-10-06,Pejë,Germany,36min0qztu8eydwvpv8t1is0m,active,yes,Attacker,Kosovo,86u6edbqifdjsn49mbp2anw7p,185.0,77.0,right,11.0,NaN
2ennswybg2gmzcmvy61q4s5ck,Antonio,Rajić,Antonio,Rajic,Male,A. Rajić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2007-03-04,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Goalkeeper,NaN,NaN,NaN,NaN,NaN,12.0,NaN
2hbduprkyabq8g1nhe6b4g3bp,Marko,Pjaca,Marko,Pjaca,Male,M. Pjaca,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1995-05-06,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Attacker,NaN,NaN,186.0,83.0,right,20.0,NaN
2wbvg562g7b0n0qs0olc1mk89,Dario,Špikić,Dario,Spikic,Male,D. Špikić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1999-03-22,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Attacker,NaN,NaN,183.0,79.0,NaN,77.0,NaN
2yuntws503qs5o9er31diwmp5,Sandro,Kulenović,Sandro,Kulenovic,Male,S. Kulenović,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1999-12-04,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Attacker,NaN,NaN,188.0,76.0,right,17.0,NaN
2zbhh5sasfhsez0bfa1suk8ic,Lukas,Kačavenda,Lukas,Kacavenda,Male,L. Kačavenda,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2003-03-02,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Midfielder,NaN,NaN,NaN,NaN,NaN,8.0,NaN
32d9uqfhzw9k6np9qswdmsy6s,Toni,Majić,Toni,Majic,Male,T. Majić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2006-05-03,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,active,no,Attacker,NaN,NaN,NaN,NaN,right,NaN,NaN
3b90uigs1uhevht6emjjwuluc,Borna,Graonić,Borna,Graonic,Male,B. Graonić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2005-01-31,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,active,no,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN
